question,answer,category
There is nothing to change.,Il N'y a RIEN à changer.; RIEN is a negative pronoun (so it is not replacing PAS - an adverb). But we still need NE to complete the negation.,vocabulary
no one / nobody,personne; Personne is the negative pronoun that means the absence of a person (quantity zero of a human). It can act as the subject or object of a verb - but not as an adverb (like PAS). Even though PERSONNE is not an adverb it is always paired with NE to complete the negation.; Do not use PERSONNE and PAS in the same phrase - that would be double negation.; PERSONNE (no one) is the opposite of everyone (tout le monde).,vocabulary
more people + nobody anymore,plus DE personneS + plus personne; The presence or absence of DE and S (to make a plural) determines meaning.,vocabulary
He sees everyone. + He sees no one.,Il voit tout le monde. + Il NE voit PERSONNE.; Personne is a negative pronoun (not an adverb like PAS) so it can be the subject or object of a verb. But it requires NE to complete the negation.; Personne (no one) is the opposite of everyone (tout le monde).,vocabulary
I don’t know anyone here.,Je NE connais PERSONNE ici.; Personne is a negative pronoun (not an adverb like PAS) so it can be the subject or object of a verb. But it requires NE to complete the negation.,vocabulary
There is nobody here.,Il N'y a PERSONNE ici.; Personne is a negative pronoun (not an adverb like PAS) so it can be the subject or object of a verb. But it requires NE to complete the negation.,vocabulary
No one understands.,Personne NE comprend.; Personne is a negative pronoun (not an adverb like PAS) so it can be the subject or object of a verb. But it requires NE to complete the negation.,vocabulary
No one can help me.,Personne NE peut m'aider.; Personne is a negative pronoun (not an adverb like PAS) so it can be the subject or object of a verb. But it requires NE to complete the negation.,vocabulary
I didn't speak to anyone.,Je n'ai parlé à PERSONNE. (Don't forget À when speaking TO someone.); Personne is a negative pronoun (not an adverb like PAS) so it can be the subject or object of a verb (or the object of a preposition). But it requires NE to complete the negation.; NB: Personne truly acts like a pronoun (unlike RIEN) because it is placed after the complete verb instead of after the conjugated portion (or auxiliary).,vocabulary
I found no one in the house.,Je N'ai trouvé PERSONNE dans la maison.; Personne is a negative pronoun (not an adverb like PAS) so it can be the subject or object of a verb (or the object of a preposition). But it requires NE to complete the negation.; NB: Personne truly acts like a pronoun (unlike RIEN) because it is placed after the complete verb instead of after the conjugated portion (or auxiliary).,vocabulary
She is not going to find anybody in the church.,Elle NE vas trouver PERSONNE dans l'église.; Personne is a negative pronoun (not an adverb like PAS) so it can be the subject or object of a verb (or the object of a preposition). But it requires NE to complete the negation.; NB: Personne truly acts like a pronoun (unlike RIEN) because it is placed after the complete verb instead of after the conjugated portion (or auxiliary).,vocabulary
Given: I would like more wine. - Is the S in plus pronounced? Why?,Je voudrais plus ('plewwS') DE vin; The S is pronounced because it describes the positive quantity of noun (without a figure in front). e.g. plus de choses ('plewws') vs plus de 300 euros ('pleww'),pronunciation
Given: There is no more school. - Is the S in plus pronounced? Why?,Il n'y a plus ('pleww') D'école.; The S is NOT pronounced because it describes a negative quantity of a noun.,pronunciation
Given: I do not want it anymore. - Is the S in plus pronounced? Why?,Je n'en veux plus ('pleww').; The S is NOT pronounced because plus is being used as an adverb.; The S is not pronounced when plus is used as an adjective or adverb. e.g. plus grand + plus vite,pronunciation
Given: You are more intelligent than an apple. - Is the S in plus pronounced? Why?,Tu es plus ('plewwZ') intelligent qu'une pomme.; S in plus is pronounced as a Z because it is used as an adjective ('pleww') but noun that follows starts with a vowel so it makes a liaison ('plewwZ').,pronunciation
Given: I am stronger than you. - Is the S in plus pronounced? Why?,Je suis plus ('pleww') fort que toi.; The S is NOT pronounced because plus is being used as an adjective.; The S is not pronounced when plus is used as an adjective or adverb. e.g. plus grand + plus vite,pronunciation
How do you pronounce '3 + 4 = 7'?,trois plus quatre égal sept ('twa-plewws-cat-ree-gal-set'); The S is pronounced because it is being used as a mathematical sign.,pronunciation
It's more of an apple than a pear.; Specify pronunciation.,C'est plus‿une ('ploo-Zoon') pomme qu'une poire.; S in plus is pronounced as a Z because it makes a liaison with une.,pronunciation
It's easier in Asia than in Europe.,C'est plus facile en Asie qu'en‿Europe.; Normally the N in en is silent because it is at the end of the word. But here you must pronounce the N in en to make a liaison with the next word (Europe) which starts with a vowel.; Pronounce the last two words as one word blended together 'koh-noo-rope',vocabulary
It's easier to speak English.,C'est PLUS DE FACILITÉ pour parler anglais.; easier to do something = plus de facilité POUR faire quelque chose.,vocabulary
It's more difficult in Spain than in France.,C'est plus difficile en Espagne qu'en ('koh') France.; Remember that the N in en is silent. It stays silent here because the next word (France) starts with a consonant.,vocabulary
The doctors in France give more drugs than in the United States.,Les médecins en France donnent plus de médicaments qu'aux Etats-Unis. ('koh-zuh-ta-zoo-nee'); pronounce the last part as a single word,vocabulary
It's cheaper to live in the country than in the city.,Two options: Il est moins cher de vivre à la campagne... 1) ...qu'EN ville. 2) ...que DANS une ville.; Use EN or DANS when using a comparator and talking about a city. Do not use À. For example do not use: ...qu'à la ville.,vocabulary
a lot more; specify the pronunciation,beaucoup plus ('ploos'); the S is pronounced because we are dealing with a positive quantity,vocabulary
more than X; specify the pronunciation,plus que ('ploos-kuh') X; S on plus is pronounced because it refers to a positive quantity.,vocabulary
He/She is more than a banker.,Il/Elle est plus qu'un/qu'une banquier/banquière.; S in plus is pronounced because it refers to a positive quantity and comes before a word that starts with a consonant.; NB: qu'un is pronounced 'kahn' not 'koon',vocabulary
a little more than a week,un peu plus qu' (or d') une semaine; The difference is subtle. PLUS QUE X = more than X. PLUS DE X = more of X.,vocabulary
higher than me + lower than me,élevé QUE moi + moins élevé QUE moi; If a pronoun follows QUE when making a comparison then use pronom tonique.; The structure for comparing with adjectives: plus/moins/aussi + adjective + que,vocabulary
Jean is faster. + Jean is faster than Michel.,Jean est PLUS rapide. + Jean est PLUS rapide QUE Michel.; S in plus is pronounced because it refers to a positive quantity and comes before a word that starts with a consonant.; The adjective (rapide) should adapt to the subject (Jean) that it describes.; The structure for comparing with adjectives: plus/moins/aussi + adjective + que,vocabulary
I am older than him.,Je suis plus âgé(e) que lui.; This is better than trying to say something like 'has more years'.,vocabulary
He is younger than me.,Il est plus jeune que moi.,vocabulary
He is 5 years younger than me.,Il a 5 ans de moins que moi.; de moins = less,vocabulary
The rock is less intelligent. + The rock is less intelligent than the computer.,Le rocher est MOINS intelligent. + Le rocher est MOINS intelligent QUE l'ordinateur.; The adjective (intelligent(e)) should adapt to the subject (le rocher - masculine) that it describes.; The structure for comparing with adjectives: plus/moins/aussi + adjective + que,vocabulary
Angelique is as intelligent as Simone.,Angelique est AUSSI intelligente QUE Simone.; The adjective (intelligent(e)) should adapt to the subject (Angelique - feminine) that it describes.; The structure for comparing with adjectives: plus/moins/aussi + adjective + que,vocabulary
